Snapshot_Date,Report_Month,Subject_Community_ID,Source_Property_Name,Floor_Plan,Bed_Count,Bath_Count,Sq_Ft,Total_Units,Unit_Mix,Leased_Units_Last_7_Days,Leased_Days_On_Market,Leased_Asking_Rent,Leased_Asking_Rent_PSF,Available_Units,Available_Days_On_Market,Available_Asking_Rent,Available_Asking_Rent_PSF,Last_7_Days_Asking_Rent_Trend,Source_File_Name
2026-04-28,2026-04-01,SER,RISE Sereno,The Hanson,0,1,608,22.2040816327,0.06875,2,38.5,1412,2.32236838341,7,42,1428,2.34868431091,0.0356379187455,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Tapestry East Bay Apartments,The Navarre,0,1,688,11,0.0320699708455,1,27.5,1600,2.32558131218,1,23,1595,2.31831383705,0,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Tapestry Big Bend,The Navarre,0,1,688,13.3203883495,0.0379008746356,1,26,1600,2.32558131218,1,7,1595,2.31831383705,0,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,The Whitt,"
A1                                ",1,1,650,10.9137931034,0.0521327014218,0,107,,,5,58,1748,2.68923068047,0,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,Birch,1,1,680,4.54054054054,0.0297619047619,0,,,,4,2,1912,2.8117647171,0,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,The Parian,A1,1,1,684,91.6310679612,0.253443526171,3,35,1624,2.37426900864,1,72,1619,2.366959095,0,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Lola,A3,1,1,688,1.25714285714,0.00378787878788,0,,,,1,314,1666,2.42151165009,-0.15991902834,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Avilla Cypress Creek,The Alcove,1,1,700,46.5405405405,0.279761904762,0,84,,,3,379,1873,2.67571425438,0,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Madison Palms,A1,1,1,719,95.4180602007,0.299684542587,0,266.5,,,11,31.5,1516,2.10848402977,0,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,The Whitt,"
A2                                ",1,1,726,12.7327586207,0.0616113744076,0,,,,6,105,1794,2.47107434273,-0.0557413600892,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Tapestry East Bay Apartments,The Carson,1,1,728,4,0.0116618075802,0,159.5,,,2,65,1749.5,2.40315926075,0,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Tapestry Big Bend,The Carson,1,1,728,6.66019417476,0.0204081632653,0,168.5,,,2,7,1749.5,2.40315926075,0,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Tapestry East Bay Apartments,The Caswell,1,1,731,32,0.0932944606414,1,84,1794,2.45417237282,8,33,1779,2.43365263939,0,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Tapestry Big Bend,The Caswell,1,1,731,11.6553398058,0.0349854227405,0,,,,7,7,1779,2.43365263939,0.00565291124929,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Ridley at Waterset,The Painted Shell - 1 Bed - 1 Bath - 732 sq. ft.,1,1,732,22.3404255319,0.055,0,69,,,4,74.5,1909,2.60792350769,0.0142367519114,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Lola,1/1,1,1,734,41.4857142857,0.155303030303,0,53.5,,,5,6,1530.5,2.08514988422,-0.129408418658,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Tapestry East Bay Apartments,The Crescent,1,1,744,43,0.125364431487,1,235,1854,2.49193549156,6,33,1819,2.44489240646,0,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Tapestry Big Bend,The Crescent,1,1,744,46.6213592233,0.137026239067,1,35,1854,2.49193549156,6,7,1819,2.44489240646,0,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Wildgrass,A1,1,1,754,64,0.2,0,41,,,11,20,1565,2.07559680939,-0.0191082802548,2026_04_29_11_40_RISE_Sereno_Market.xlsx
2026-04-28,2026-04-01,SER,Wildgrass,A1-LL,1,1,754,59,0.184375,0,25,,,9,1,1570,2.08222818375,-0.0031746031746,2026_04_29_11_40_RISE_Sereno_Market.xlsx
